episode,reward,length,reward_per_step
1,-849.5542775619251,2001,-0.4245648563527862
2,148.62004096730016,20000,0.007431002048365008
3,-649.9176221122325,2439,-0.2664688897549129
4,1962.8073330595507,8052,0.24376643480620352
5,3692.521535802607,5354,0.6896752961902516
6,7411.110382750162,20000,0.3705555191375081
7,9048.603562224806,15912,0.568665382241378
8,4027.0091656485747,4007,1.0049935526949276
9,9889.365422745737,12717,0.7776492429618415
10,2802.580594258665,6475,0.432830979808288
11,2956.4372662976093,6404,0.46165478861611636
12,8834.601342815153,17709,0.4988763534256679
13,9919.660898978518,12910,0.7683703252500789
14,3960.4878816987475,4201,0.9427488411565693
15,-1180.8016165676527,2001,-0.5901057554061233
16,-1194.7886414993554,2001,-0.5970957728632461
17,-1083.5239044683985,2001,-0.5414912066308838
18,8579.234608860777,19599,0.43773838506356333
19,-1067.8029278782196,2001,-0.533634646615802
20,-277.3228555682904,2020,-0.13728854236053978
21,-1031.9806289738044,2001,-0.5157324482627709
22,9278.435445463656,16904,0.5488899340667094
23,10489.611174093312,11393,0.9207066772661557
24,-958.5062758447602,2001,-0.4790136311068267
