episode,reward,length,reward_per_step
1,383.83134480263107,500,0.7676626896052622
2,403.4133290341124,500,0.8068266580682247
3,-118.71426763478667,500,-0.23742853526957333
4,253.2300901412964,55,4.6041834571144795
5,659.5019381344318,377,1.7493420109666626
6,107.17966756224632,53,2.0222578785329497
7,667.3796505331993,500,1.3347593010663987
8,95.08310747146606,18,5.282394859525892
9,671.382389745675,500,1.34276477949135
10,-82.38657728727594,500,-0.16477315457455188
11,425.78480574768037,500,0.8515696114953607
12,247.50600743293762,40,6.187650185823441
13,94.85630536079407,18,5.269794742266337
14,253.25649158097804,54,4.689935029277371
15,-112.8045245516114,500,-0.2256090491032228
16,95.1704193353653,18,5.287245518631405
17,87.08722854033113,55,1.5834041552787477
18,261.27341198921204,51,5.1230080782198435
19,-150.74879836459877,500,-0.3014975967291975
20,-71.20777095295489,500,-0.14241554190590977
21,-186.68057372939074,500,-0.37336114745878146
22,427.2488544747466,500,0.8544977089494933
23,-106.95562631869689,500,-0.21391125263739377
24,226.74951564520597,57,3.97806167798607
25,84.04673809185624,72,1.1673158068313367
26,84.46182451862842,63,1.3406638812480702
27,77.46503420174122,83,0.9333136650812195
28,442.61524602770805,209,2.1177762967832923
29,402.8483423895668,500,0.8056966847791337
30,335.9204111536965,178,1.8871933210881824
31,170.61126337124733,500,0.34122252674249465
32,90.92324727773666,57,1.5951446890830994
33,39.97093233128544,204,0.19593594280041882
34,92.9230224788189,23,4.040131412122561
35,-85.56625839928165,500,-0.1711325167985633
36,39.06163657020079,255,0.15318288851059134
37,725.9993768930435,500,1.451998753786087
38,50.40736565948464,199,0.2533033450225359
39,422.8271127532935,500,0.845654225506587
40,-62.838583294302225,500,-0.12567716658860445
41,409.0740650370717,262,1.5613513932712662
42,-38.01823745839647,296,-0.1284399914135016
43,96.25031805038452,16,6.015644878149033
44,25.25331649123109,305,0.08279775898764291
45,-13.665039053128567,398,-0.03433426897770997
46,-76.41931264597224,500,-0.15283862529194447
47,-77.89540724919061,500,-0.15579081449838122
48,-75.28987270500511,500,-0.1505797454100102
49,95.248102247715,18,5.291561235984166
50,525.5012943893671,298,1.7634271623804265
51,-104.99794946820475,500,-0.2099958989364095
52,94.54609906673431,19,4.976110477196543
53,365.01225197315216,377,0.9682022598757352
54,418.9785361427348,500,0.8379570722854697
55,284.71427673869766,500,0.5694285534773953
56,303.272597104311,265,1.144424894733249
57,675.2337502241135,500,1.350467500448227
58,370.5091314651072,236,1.5699539468860475
59,42.0982046299614,212,0.1985764369337802
60,3.480417790124193,360,0.009667827194789425
61,150.0147102610208,500,0.3000294205220416
62,589.4546415992081,324,1.819304449380272
63,222.44401443190873,432,0.5149167000738628
64,378.6603628471494,409,0.9258199580614899
65,-20.200546648935415,425,-0.0475306979974951
66,228.97879695892334,89,2.572795471448577
