episode,reward,length,reward_per_step
1,-1031.8838133638492,5000,-0.20637676267276983
2,-9488.313939735293,5000,-1.8976627879470587
3,-8003.98257894814,5000,-1.600796515789628
4,-6082.928120613098,5000,-1.2165856241226196
5,-3384.1890875108656,5000,-0.6768378175021731
6,-921.8549614238727,5000,-0.18437099228477455
7,-1758.556503686189,5000,-0.3517113007372378
8,-250.0616013619001,2110,-0.11851260728052138
9,-294.11505206689617,2883,-0.10201701424450092
10,21.85726585536031,1152,0.01897332105500027
11,-2797.139266195445,5000,-0.5594278532390891
12,-2203.9779464273306,5000,-0.44079558928546614
13,-835.6208265221212,3993,-0.20927143163589312
14,80.02453795447946,916,0.08736303270139678
15,-1374.2269565789338,5000,-0.2748453913157868
16,-248.17270464768808,2712,-0.09150910938336582
17,162.7992200141307,497,0.32756382296605774
18,129.3959119459032,694,0.18644944084424092
19,-66.2647476328857,1550,-0.04275145008573271
20,262.7063478931668,304,0.8641656180696277
21,172.57644126086961,636,0.2713466057560843
22,269.01384619873716,677,0.39736166351364427
23,-12.65276080230251,1237,-0.010228585935571957
24,201.2003978821449,531,0.3789084705878435
25,161.863580134348,621,0.26064988749492435
26,-172.13193506315292,2171,-0.07928693462144308
27,-248.2396180506621,2450,-0.1013222930819029
28,74.47384574747412,1406,0.05296859583746381
29,166.64692123554414,1019,0.1635396675520551
30,-745.4007459416821,3845,-0.19386235265063254
31,119.35004985611886,1332,0.08960213953162076
32,248.87326643406413,321,0.7753061259628167
33,152.94087965233484,1154,0.13253109155314977
34,199.90645549469627,881,0.22690857604392312
35,251.2717154538259,268,0.9375810278127832
36,132.6326163072972,1161,0.1142399795928486
37,-28.93295907531865,1675,-0.017273408403175313
38,-543.2690836876682,2909,-0.18675458359837338
39,290.43357199640013,205,1.4167491316897567
40,7.645289754946134,1425,0.005365115617506059
41,-135.55007002365164,2145,-0.06319350583853224
42,221.16452438599663,752,0.29410176115159126
43,23.294647464412265,1536,0.0151657861096434
44,304.59265036147553,593,0.5136469651964174
45,246.81773504428566,710,0.3476306127384305
46,199.5267883624183,876,0.2277703063497926
47,206.68968427592336,505,0.4092865035166799
48,103.22286140441429,866,0.11919499007438139
49,131.93692485557403,1207,0.10930979689774153
50,159.55467321304604,1064,0.14995739963632146
51,261.09127577603795,589,0.443278906241151
52,59.43269571568817,720,0.08254541071623357
53,320.1833138978109,535,0.5984734839211419
54,292.27404962677974,557,0.5247289939439492
55,83.33108114072911,1260,0.06613577868311835
56,285.20163074624725,254,1.1228410659301074
57,246.8729397576244,783,0.31529111080156375
58,211.05550188478082,359,0.5878983339408936
59,189.88586881558876,1059,0.1793067694198194
60,218.1670735568041,846,0.25788070160378734
61,368.68614932807395,304,1.2127833859476116
62,287.6241125309025,556,0.5173095549116952
63,-499.33189999926253,3376,-0.14790636848319388
64,173.8596317444899,983,0.17686635986214638
65,329.86927400447894,486,0.6787433621491337
66,142.6424593408592,1052,0.13559169138864943
67,380.71216155588627,310,1.2281037469544718
