episode,reward,length,reward_per_step
1,188.72376225632615,504,0.3744519092387424
2,-7054.540982391685,5000,-1.410908196478337
3,-5251.749897642061,5000,-1.0503499795284121
4,-3725.0883867902594,5000,-0.7450176773580519
5,-2594.479387840911,5000,-0.5188958775681822
6,-1692.399639877447,5000,-0.3384799279754894
7,-1060.19902179997,5000,-0.212039804359994
8,-3215.0035880587384,5000,-0.6430007176117477
9,-2220.3974144711974,5000,-0.4440794828942395
10,-1611.6488354246248,5000,-0.32232976708492495
11,-1391.1412617923124,5000,-0.2782282523584625
12,-1448.427258686279,5000,-0.2896854517372558
13,-1229.2429252563015,5000,-0.2458485850512603
14,-1178.9382178806263,5000,-0.23578764357612528
15,22.83613311361114,1167,0.01956823745810723
16,-1553.0147827087494,5000,-0.3106029565417499
17,-1094.4821055327375,5000,-0.2188964211065475
18,-1105.6422894598218,5000,-0.22112845789196436
19,211.61853207368404,460,0.4600402871167044
20,162.1844757082872,517,0.31370304779165803
21,-1077.615481980432,5000,-0.21552309639608638
22,0.3216103508602828,1475,0.00021804091583747985
23,-470.8549633769435,2869,-0.16411814687240972
24,118.2880667806603,754,0.15688072517328952
25,62.26137662708061,1221,0.05099211844969747
26,197.5533833883237,435,0.4541457089386752
27,-821.4195284315792,4441,-0.1849627400206213
28,-38.444401509012096,1650,-0.02329963727818915
29,-198.38965945498785,2250,-0.0881731819799946
30,-211.4672563296117,2427,-0.08713113157379963
31,78.82447797385976,1205,0.06541450454262221
32,67.22783821437042,1325,0.050737991105185225
33,72.7021948438487,1266,0.05742669418945395
34,99.39995650510537,1343,0.07401337044311643
35,-717.7112893716694,3728,-0.19251912268553364
36,-203.53539207871654,2484,-0.08193856363877478
37,210.4947130655637,360,0.5847075362932325
38,-114.39917629525371,1638,-0.06984076696901936
39,-1296.229112879817,5000,-0.2592458225759634
40,204.16497833118774,800,0.25520622291398465
41,181.9918020296609,900,0.2022131133662899
42,60.64176572690485,1522,0.039843472882329076
43,278.4848748972872,236,1.1800206563444373
44,218.79898242870183,973,0.22487048553823416
45,188.85863085038727,551,0.342756135844623
46,154.4130748214302,984,0.1569238565258437
47,232.69425668066833,847,0.27472757577410667
48,134.90353313693777,1187,0.11365082825352803
49,229.80308553634677,318,0.722651212378449
50,267.73791186045855,716,0.3739356310900259
51,282.93655133205175,612,0.46231462635956166
52,145.94544993827003,1103,0.13231681771375342
53,78.25861345630256,1493,0.052417021738983625
54,-196.09538641301333,2073,-0.0945949765619939
55,150.18359027872793,957,0.15693165128393724
56,246.1333984392695,276,0.8917876755045997
57,256.5252903030905,704,0.36438251463507176
58,250.01493966206908,369,0.6775472619568268
59,118.2512801324483,1324,0.08931365568916035
60,197.2845558609697,808,0.24416405428337834
61,172.3385278149217,1007,0.17114054400687356
62,99.14143113151658,826,0.12002594567980215
63,197.85159523796756,1000,0.19785159523796755
64,175.79771634400822,1041,0.16887388697791375
65,150.45625604863744,754,0.19954410616530166
66,179.90006375970552,619,0.29063015146963733
67,269.64975835292717,236,1.1425837218344372
68,208.9489073118748,774,0.2699598285683137
69,191.9423690730182,647,0.2966651763106927
70,247.8107712547062,766,0.3235127562071882
71,-160.88555735532282,2330,-0.06904959543146902
72,-14.993927129835356,1627,-0.00921568969258473
73,305.31801511882804,582,0.5246014005478145
74,182.8663705252111,1004,0.18213781924821823
75,306.1854498460889,124,2.4692374987587815
76,214.42012032616185,540,0.3970742969002997
77,176.26961872715037,946,0.1863315208532245
78,222.9207307593897,827,0.2695534833849936
79,-533.3341865013535,3424,-0.1557634890482925
80,186.58663682686165,1000,0.18658663682686166
81,273.3310149493627,596,0.45860908548550794
82,128.36628413702056,1189,0.10796155099833521
83,-8.671539171598852,1679,-0.005164704688266142
84,-3.530546431444236,1672,-0.0021115708322034903
85,76.50645075610737,1022,0.07485954085724791
86,205.6766825550003,359,0.57291555029248
87,163.7754216962494,515,0.31801052756553283
88,259.7027373496676,654,0.39709898677319205
89,320.09221037692623,522,0.6132034681550311
90,107.97216073708842,789,0.13684684504066974
91,172.4141633133404,631,0.27323956151084056
92,210.23646279168315,731,0.28760118028958026
93,202.22453832195606,901,0.22444454863702115
94,223.01497522357386,754,0.2957758292089839
95,207.29273429475143,799,0.2594402181411157
96,182.74173263233388,980,0.18647115574727946
97,277.02837532083504,693,0.3997523453403103
98,142.74172041763086,1182,0.12076287683386705
99,234.49445658677723,385,0.6090765106150058
100,245.85598575277254,759,0.3239209298455501
101,221.2612726711668,867,0.25520331334621316
102,261.3234194951219,252,1.036997696409214
103,273.63113555591553,249,1.0989202231161266
104,172.94873101543635,888,0.19476208447684273
105,-2512.0624464477005,5000,-0.5024124892895401
106,257.6587528754608,782,0.32948689626018
107,19.958732452534605,1556,0.01282694887695026
108,-2542.072600255022,5000,-0.5084145200510044
109,136.82140746712685,694,0.19714900211401562
110,218.90291743811395,850,0.25753284404483995
111,-708.446878569579,4617,-0.15344311859856594
